Filename,State,Governor,Gender,Party,Type of Speech,New Gov?,2020 Contender?,Region,Trifecta Status,Trifecta,Best Transcript URL,Selector,Note,Lesser Transcript URL,New Best Transcript URL
Colorado_Inaugural.txt,Colorado,Jared Polis,Male,D,Inaugural,Yes,No,West,D trifecta,Trifecta,https://www.cpr.org/news/story/read-colorado-gov-jared-polis-entire-2019-inauguration-address,,,,
Colorado_SOTS.txt,Colorado,Jared Polis,Male,D,State of the state,Yes,No,West,D trifecta,Trifecta,https://www.colorado.gov/governor/sites/default/files/2019_state_of_the_state.pdf,,,http://www.cpr.org/news/story/2019-polis-colorado-state-of-the-state,http://www.cpr.org/news/story/2019-polis-colorado-state-of-the-state
Connecticut_Inaugural.txt,Connecticut,Ned Lamont,Male,D,Inaugural,Yes,No,Northeast,D trifecta,Trifecta,https://portal.ct.gov/Office-of-the-Governor/News/Speeches/Governor-Lamont-2019-Inaugural-Address,,,https://fox61.com/2019/01/09/read-gov-lamonts-swearing-in-speech-transcript/,
Connecticut_SOTS.txt,Connecticut,Ned Lamont,Male,D,State of the state,Yes,No,Northeast,D trifecta,Trifecta,https://portal.ct.gov/Office-of-the-Governor/News/Speeches/Governor-Lamont-2019-State-of-the-State-Address?platform=hootsuite,,,,https://portal.ct.gov/Office-of-the-Governor/News/Speeches/Governor-Lamont-2019-State-of-the-State-Address?platform=hootsuite
Delaware_SOTS.txt,Delaware,John Carney,Male,D,State of the state,No,No,South,D trifecta,Trifecta,https://governor.delaware.gov/wp-content/uploads/sites/24/2019/01/State-of-the-State-01172019.pdf,,,http://www.wgmd.com/text-of-gov-john-carneys-state-of-the-state-address/,https://governor.delaware.gov/wp-content/uploads/sites/24/2019/01/State-of-the-State-01172019.pdf
Florida_Inaugural.txt,Florida,Ron DeSantis,Male,R,Inaugural,Yes,No,South,R trifecta,Trifecta,https://www.abcactionnews.com/news/state/ron-desantis-inaugural-speech-read-the-full-transcript,,,,
Florida_SOTS.txt,Florida,Ron DeSantis,Male,R,State of the state,Yes,No,South,R trifecta,Trifecta,https://www.flgov.com/2019/03/05/governor-desantis-state-of-the-state-address/,,,,https://www.flgov.com/2019/03/05/governor-desantis-state-of-the-state-address/
Georgia_Inaugural.txt,Georgia,Brian Kemp,Male,R,Inaugural,Yes,No,South,R trifecta,Trifecta,https://www.ajc.com/news/state--regional-govt--politics/can-done-closer-look-kemp-inaugural-address/Xrka9x7h1i67prGDEIIvaM/,,,,
Georgia_SOTS.txt,Georgia,Brian Kemp,Male,R,State of the state,Yes,No,South,R trifecta,Trifecta,https://www.11alive.com/article/news/governor-brian-kemp-issues-first-state-of-the-state-address-read-full-transcript/85-7af10d01-6c5b-40cd-b991-2d11ac43d5ea,,,,https://www.11alive.com/article/news/governor-brian-kemp-issues-first-state-of-the-state-address-read-full-transcript/85-7af10d01-6c5b-40cd-b991-2d11ac43d5ea
Hawaii_Inaugural.txt,Hawaii,David Ige,Male,D,Inaugural,No,No,West,D trifecta,Trifecta,https://governor.hawaii.gov/newsroom/latest-news/office-of-the-governor-complete-text-of-governor-iges-second-inaugural-speech/,"#content_wrapper , p",,,
